Name,Ticker,Sector,Industry,Country
REGENERON PHARMACEUTICALS,REGN,Healthcare,Biotechnology,United States
ALLSTATE CORP,ALL,Financial Services,Insurance - Property & Casualty,United States
ARTHUR J GALLAGHER + CO,AJG,Financial Services,Insurance Brokers,United States
DELTA AIR LINES INC,DAL,Industrials,Airlines,United States
TE CONNECTIVITY PLC,TEL,Technology,Electronic Components,Ireland
SEMPRA,SRE,Utilities,Utilities - Diversified,United States
AIRBNB INC CLASS A,ABNB,Consumer Cyclical,Travel Services,United States
HCA HEALTHCARE INC,HCA,Healthcare,Medical Care Facilities,United States
CINTAS CORP,CTAS,Industrials,Specialty Business Services,United States
HEWLETT PACKARD ENTERPRISE,HPE,Technology,Communication Equipment,United States
CARRIER GLOBAL CORP,CARR,Industrials,Building Products & Equipment,United States
DOMINION ENERGY INC,D,Utilities,Utilities - Regulated Electric,United States
TARGET CORP,TGT,Consumer Defensive,Discount Stores,United States
WW GRAINGER INC,GWW,Industrials,Industrial Distribution,United States
CENCORA INC,COR,Healthcare,Medical Distribution,United States
KEYSIGHT TECHNOLOGIES IN,KEYS,Technology,Scientific & Technical Instruments,United States
FASTENAL CO,FAST,Industrials,Industrial Distribution,United States
LUMENTUM HOLDINGS INC,LITE,Technology,Communication Equipment,United States
AMETEK INC,AME,Industrials,Specialty Industrial Machinery,United States
CORTEVA INC,CTVA,Basic Materials,Agricultural Inputs,United States
FLEX LTD,FLEX,Technology,Electronic Components,United States
TARGA RESOURCES CORP,TRGP,Energy,Oil & Gas Midstream,United States
DIGITAL REALTY TRUST INC,DLR,Real Estate,REIT - Specialty,United States
AFLAC INC,AFL,Financial Services,Insurance - Life,United States
FORD MOTOR CO,F,Consumer Cyclical,Auto Manufacturers,United States
CARDINAL HEALTH INC,CAH,Healthcare,Medical Distribution,United States
L3HARRIS TECHNOLOGIES INC,LHX,Industrials,Aerospace & Defense,United States
APOLLO GLOBAL MANAGEMENT INC,APO,Financial Services,Asset Management,United States
AUTOZONE INC,AZO,Consumer Cyclical,Auto Parts,United States
BAKER HUGHES CO,BKR,Energy,Oil & Gas Equipment & Services,United States
REALTY INCOME CORP,O,Real Estate,REIT - Retail,United States
PUBLIC STORAGE,PSA,Real Estate,REIT - Industrial,United States
ROCKWELL AUTOMATION INC,ROK,Industrials,Specialty Industrial Machinery,United States
EDWARDS LIFESCIENCES CORP,EW,Healthcare,Medical Devices,United States
NIKE INC  CL B,NKE,Consumer Cyclical,Footwear & Accessories,United States
FIFTH THIRD BANCORP,FITB,Financial Services,Banks - Regional,United States
ONEOK INC,OKE,Energy,Oil & Gas Midstream,United States
NUCOR CORP,NUE,Basic Materials,Steel,United States
VISTRA CORP,VST,Utilities,Utilities - Independent Power Producers,United States
STATE STREET CORP,STT,Financial Services,Asset Management,United States
MICROCHIP TECHNOLOGY INC,MCHP,Technology,Semiconductors,United States
EBAY INC,EBAY,Consumer Cyclical,Internet Retail,United States
ENTERGY CORP,ETR,Utilities,Utilities - Regulated Electric,United States
CARVANA CO,CVNA,Consumer Cyclical,Auto & Truck Dealerships,United States
HUMANA INC,HUM,Healthcare,Healthcare Plans,United States
EXELON CORP,EXC,Utilities,Utilities - Regulated Electric,United States
METLIFE INC,MET,Financial Services,Insurance - Life,United States
YUM  BRANDS INC,YUM,Consumer Cyclical,Restaurants,United States
KEURIG DR PEPPER INC,KDP,Consumer Defensive,Beverages - Non-Alcoholic,United States
ELECTRONIC ARTS INC,EA,Communication Services,Electronic Gaming & Multimedia,United States
XCEL ENERGY INC,XEL,Utilities,Utilities - Regulated Electric,United States
DEVON ENERGY CORP,DVN,Energy,Oil & Gas E&P,United States
CHIPOTLE MEXICAN GRILL INC,CMG,Consumer Cyclical,Restaurants,United States
AUTODESK INC,ADSK,Technology,Software - Application,United States
BLOCK INC,XYZ,Technology,Software - Infrastructure,United States
AXON ENTERPRISE INC,AXON,Industrials,Aerospace & Defense,United States
WABTEC CORP,WAB,Industrials,Railroads,United States
REPUBLIC SERVICES INC,RSG,Industrials,Waste Management,United States
VENTAS INC,VTR,Real Estate,REIT - Healthcare Facilities,United States
UNITED AIRLINES HOLDINGS INC,UAL,Industrials,Airlines,United States
IDEXX LABORATORIES INC,IDXX,Healthcare,Diagnostics & Research,United States
AMERIPRISE FINANCIAL INC,AMP,Financial Services,Asset Management,United States
MSCI INC,MSCI,Financial Services,Financial Data & Stock Exchanges,United States
PUBLIC SERVICE ENTERPRISE GP,PEG,Utilities,Utilities - Regulated Electric,United States
TAKE TWO INTERACTIVE SOFTWRE,TTWO,Communication Services,Electronic Gaming & Multimedia,United States
INTERACTIVE BROKERS GRO CL A,IBKR,Financial Services,Capital Markets,United States
DR HORTON INC,DHI,Consumer Cyclical,Residential Construction,United States
OLD DOMINION FREIGHT LINE,ODFL,Industrials,Trucking,United States
AMERICAN INTERNATIONAL GROUP,AIG,Financial Services,Insurance - Diversified,United States
JABIL INC,JBL,Technology,Electronic Components,United States
CBRE GROUP INC   A,CBRE,Real Estate,Real Estate Services,United States
BECTON DICKINSON AND CO,BDX,Healthcare,Medical Instruments & Supplies,United States
AGILENT TECHNOLOGIES INC,A,Healthcare,Diagnostics & Research,United States
CONSOLIDATED EDISON INC,ED,Utilities,Utilities - Regulated Electric,United States
VULCAN MATERIALS CO,VMC,Basic Materials,Building Materials,United States
KIMBERLY CLARK CORP,KMB,Consumer Defensive,Household & Personal Products,United States
SYSCO CORP,SYY,Consumer Defensive,Food Distribution,United States
KENVUE INC,KVUE,Consumer Defensive,Household & Personal Products,United States
WATERS CORP,WAT,Healthcare,Diagnostics & Research,United States
HARTFORD INSURANCE GROUP INC,HIG,Financial Services,Insurance - Diversified,United States
WEC ENERGY GROUP INC,WEC,Utilities,Utilities - Regulated Electric,United States
PAYPAL HOLDINGS INC,PYPL,Financial Services,Credit Services,United States
MARTIN MARIETTA MATERIALS,MLM,Basic Materials,Building Materials,United States
GARMIN LTD,GRMN,Technology,Scientific & Technical Instruments,Switzerland
PRUDENTIAL FINANCIAL INC,PRU,Financial Services,Insurance - Life,United States
CARNIVAL CORP LTD,CCL,Consumer Cyclical,Travel Services,United States
COINBASE GLOBAL INC  CLASS A,COIN,Financial Services,Financial Data & Stock Exchanges,United States
M + T BANK CORP,MTB,Financial Services,Banks - Regional,United States
IRON MOUNTAIN INC,IRM,Real Estate,REIT - Specialty,United States
ARCHER DANIELS MIDLAND CO,ADM,Consumer Defensive,Farm Products,United States
P G + E CORP,PCG,Utilities,Utilities - Regulated Electric,United States
HUNTINGTON BANCSHARES INC,HBAN,Financial Services,Banks - Regional,United States
NASDAQ INC,NDAQ,Financial Services,Financial Data & Stock Exchanges,United States
ON SEMICONDUCTOR,ON,Technology,Semiconductors,United States
EMCOR GROUP INC,EME,Industrials,Engineering & Construction,United States
